Stage,Trigger,Recipient,Channel,Subject,Content Summary,CTAs
Intake,Staff adds repair-intake tag in Shopify admin,HQ,Email,New Repair Intake — D#XXXX — [Customer Name],"Customer name, email, phone, item description, staff notes",Set Estimate & Send to Customer → /repairs/set-estimate
Intake,Staff adds repair-intake tag in Shopify admin,Customer,Email,We've Received Your Item — D#XXXX,Confirms piece received; estimate within 1–2 business days,None
Estimate — Paid,HQ submits estimate form with amount; middleware fires GoKwik link,Customer,Email,Your Timanti Repair Estimate — D#XXXX,"Item description, estimated cost",Approve & Pay Rs.X Now (GoKwik) | Approve & Pay at Store (/repairs/approve-store) | Ask a Question on WhatsApp (customer-initiated)
Free Repair,HQ checks free on estimate form OR staff adds free-repair tag directly,Customer,Email,Great News — Complimentary Repair Confirmed (D#XXXX),No charge; repair will proceed; team will notify when ready,None
Free Repair,HQ checks free on estimate form OR staff adds free-repair tag directly,HQ,Email,Complimentary Repair — D#XXXX — [Customer Name],Confirms complimentary repair; proceed when ready,Mark Repair Complete & Notify Customer → /repairs/set-complete
Payment Received (GoKwik),Customer pays via GoKwik link; GoKwik webhook fires,Customer,Email,Payment Confirmed — Repair in Progress (D#XXXX),"Rs.X received, transaction ID, payment method, next steps",None
Payment Received (GoKwik),Customer pays via GoKwik link; GoKwik webhook fires,HQ,Email,Payment Received — D#XXXX — [Customer Name],Payment confirmed; proceed with repair,Mark Repair Complete & Notify Customer → /repairs/set-complete
Approved — Pay at Store,Customer clicks Approve & Pay at Store CTA and confirms on web page,Customer,Email,Repair Confirmed — We'll Be in Touch (D#XXXX),Repair approved; Rs.X due at collection; team will notify when ready,None
Approved — Pay at Store,Customer clicks Approve & Pay at Store CTA and confirms on web page,HQ,Email,Store Payment Approved — D#XXXX — [Customer Name] — Rs.X,Customer approved store payment; proceed with repair,Mark Repair Complete & Notify Customer → /repairs/set-complete
Repair Complete — Shipped,HQ submits set-complete form with Sequel shipment ID,Customer,Email,Your Repair is Ready — D#XXXX,Repair complete; shipment ID displayed,Track Shipment → sequellogistics.in/track-shipment?awb=...
Repair Complete — Store Pickup,HQ submits set-complete form with store pickup checked,Customer,Email,Your Repair is Ready — Please Collect at Our Store (D#XXXX),"Repair complete; store address, quote draft ref, Mon–Sat 10AM–6PM",None
Repair Complete — No Tracking,HQ submits set-complete form with no Sequel ID and no store pickup,Customer,Email,Your Repair is Ready — D#XXXX,Team will be in touch to arrange delivery or pickup; call +91-7710938305 if no response in 24 hours,None
